O*NET-SOC 2010 Code,O*NET-SOC 2010 Title,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title
11-9039.01,Distance Learning Coordinators,11-9039.00,"Education Administrators, All Other"
11-9039.02,Fitness and Wellness Coordinators,11-9179.01,Fitness and Wellness Coordinators
11-9041.00,Architectural and Engineering Managers,11-9041.00,Architectural and Engineering Managers
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
11-9051.00,Food Service Managers,11-9051.00,Food Service Managers
11-9061.00,Funeral Service Managers,11-9171.00,Funeral Home Managers
11-9071.00,Gaming Managers,11-9071.00,Gambling Managers
11-9081.00,Lodging Managers,11-9081.00,Lodging Managers
11-9111.00,Medical and Health Services Managers,11-9111.00,Medical and Health Services Managers
11-9121.00,Natural Sciences Managers,11-9121.00,Natural Sciences Managers
11-9121.01,Clinical Research Coordinators,11-9121.01,Clinical Research Coordinators
11-9121.02,Water Resource Specialists,11-9121.02,Water Resource Specialists
11-9131.00,Postmasters and Mail Superintendents,11-9131.00,Postmasters and Mail Superintendents
11-9141.00,"Property, Real Estate, and Community Association Managers",11-9141.00,"Property, Real Estate, and Community Association Managers"
11-9151.00,Social and Community Service Managers,11-9151.00,Social and Community Service Managers
11-9161.00,Emergency Management Directors,11-9161.00,Emergency Management Directors
11-9199.00,"Managers, All Other",11-9072.00,"Entertainment and Recreation Managers, Except Gambling"
11-9199.00,"Managers, All Other",11-9179.00,"Personal Service Managers, All Other"
11-9199.00,"Managers, All Other",11-9199.00,"Managers, All Other"
11-9199.00,"Managers, All Other",13-1082.00,Project Management Specialists
11-9199.01,Regulatory Affairs Managers,11-9199.01,Regulatory Affairs Managers
11-9199.02,Compliance Managers,11-9199.02,Compliance Managers
11-9199.03,Investment Fund Managers,11-3031.03,Investment Fund Managers
11-9199.04,Supply Chain Managers,11-3071.04,Supply Chain Managers
11-9199.07,Security Managers,11-3013.01,Security Managers
11-9199.07,Security Managers,11-9199.00,"Managers, All Other"
11-9199.08,Loss Prevention Managers,11-9199.08,Loss Prevention Managers
11-9199.09,Wind Energy Operations Managers,11-9199.09,Wind Energy Operations Managers
11-9199.10,Wind Energy Project Managers,11-9199.10,Wind Energy Development Managers
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
13-1021.00,"Buyers and Purchasing Agents, Farm Products",13-1021.00,"Buyers and Purchasing Agents, Farm Products"
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
13-1031.00,"Claims Adjusters, Examiners, and Investigators",13-1031.00,"Claims Adjusters, Examiners, and Investigators"
13-1031.01,"Claims Examiners, Property and Casualty Insurance",13-1031.00,"Claims Adjusters, Examiners, and Investigators"
13-1031.02,"Insurance Adjusters, Examiners, and Investigators",13-1031.00,"Claims Adjusters, Examiners, and Investigators"
13-1032.00,"Insurance Appraisers, Auto Damage",13-1032.00,"Insurance Appraisers, Auto Damage"
13-1041.00,Compliance Officers,13-1041.00,Compliance Officers
13-1041.01,Environmental Compliance Inspectors,13-1041.01,Environmental Compliance Inspectors
13-1041.02,Licensing Examiners and Inspectors,13-1041.00,Compliance Officers
13-1041.03,Equal Opportunity Representatives and Officers,13-1041.03,Equal Opportunity Representatives and Officers
13-1041.04,Government Property Inspectors and Investigators,13-1041.04,Government Property Inspectors and Investigators
13-1041.06,Coroners,13-1041.06,Coroners
13-1041.07,Regulatory Affairs Specialists,13-1041.07,Regulatory Affairs Specialists
13-1051.00,Cost Estimators,13-1051.00,Cost Estimators
13-1071.00,Human Resources Specialists,13-1071.00,Human Resources Specialists
13-1074.00,Farm Labor Contractors,13-1074.00,Farm Labor Contractors
13-1075.00,Labor Relations Specialists,13-1075.00,Labor Relations Specialists
13-1081.00,Logisticians,13-1081.00,Logisticians
13-1081.01,Logistics Engineers,13-1081.01,Logistics Engineers
13-1081.02,Logistics Analysts,13-1081.02,Logistics Analysts
13-1111.00,Management Analysts,13-1111.00,Management Analysts
13-1121.00,"Meeting, Convention, and Event Planners",13-1121.00,"Meeting, Convention, and Event Planners"
13-1131.00,Fundraisers,13-1131.00,Fundraisers
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
13-1151.00,Training and Development Specialists,13-1151.00,Training and Development Specialists
13-1161.00,Market Research Analysts and Marketing Specialists,13-1161.00,Market Research Analysts and Marketing Specialists
13-1199.00,"Business Operations Specialists, All Other",13-1082.00,Project Management Specialists
13-1199.00,"Business Operations Specialists, All Other",13-1199.00,"Business Operations Specialists, All Other"
13-1199.01,Energy Auditors,47-4011.01,Energy Auditors
13-1199.02,Security Management Specialists,13-1199.00,"Business Operations Specialists, All Other"
13-1199.02,Security Management Specialists,13-1199.07,Security Management Specialists
13-1199.03,Customs Brokers,13-1041.08,Customs Brokers
13-1199.04,Business Continuity Planners,13-1199.04,Business Continuity Planners
13-1199.05,Sustainability Specialists,13-1199.05,Sustainability Specialists
13-1199.06,Online Merchants,13-1199.06,Online Merchants
13-2011.00,Accountants and Auditors,13-2011.00,Accountants and Auditors
13-2011.01,Accountants,13-2011.00,Accountants and Auditors
13-2011.02,Auditors,13-2011.00,Accountants and Auditors
13-2021.00,Appraisers and Assessors of Real Estate,13-2022.00,Appraisers of Personal and Business Property
13-2021.00,Appraisers and Assessors of Real Estate,13-2023.00,Appraisers and Assessors of Real Estate
13-2021.01,Assessors,13-2023.00,Appraisers and Assessors of Real Estate
13-2021.02,"Appraisers, Real Estate",13-2023.00,Appraisers and Assessors of Real Estate
13-2031.00,Budget Analysts,13-2031.00,Budget Analysts
13-2041.00,Credit Analysts,13-2041.00,Credit Analysts
13-2051.00,Financial Analysts,13-2051.00,Financial and Investment Analysts
13-2051.00,Financial Analysts,13-2054.00,Financial Risk Specialists
13-2052.00,Personal Financial Advisors,13-2052.00,Personal Financial Advisors
13-2053.00,Insurance Underwriters,13-2053.00,Insurance Underwriters
13-2061.00,Financial Examiners,13-2061.00,Financial Examiners
13-2071.00,Credit Counselors,13-2071.00,Credit Counselors
13-2071.01,Loan Counselors,13-2072.00,Loan Officers
13-2072.00,Loan Officers,13-2072.00,Loan Officers
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
13-2082.00,Tax Preparers,13-2082.00,Tax Preparers
13-2099.00,"Financial Specialists, All Other",13-2054.00,Financial Risk Specialists
13-2099.00,"Financial Specialists, All Other",13-2099.00,"Financial Specialists, All Other"
13-2099.01,Financial Quantitative Analysts,13-2099.01,Financial Quantitative Analysts
13-2099.02,Risk Management Specialists,13-2054.00,Financial Risk Specialists
13-2099.03,Investment Underwriters,13-2051.00,Financial and Investment Analysts
13-2099.04,"Fraud Examiners, Investigators and Analysts",13-2099.04,"Fraud Examiners, Investigators and Analysts"
15-1111.00,Computer and Information Research Scientists,15-1221.00,Computer and Information Research Scientists
15-1121.00,Computer Systems Analysts,15-1211.00,Computer Systems Analysts
15-1121.01,Informatics Nurse Specialists,15-1211.01,Health Informatics Specialists
15-1122.00,Information Security Analysts,15-1212.00,Information Security Analysts
15-1131.00,Computer Programmers,15-1251.00,Computer Programmers
15-1132.00,"Software Developers, Applications",15-1252.00,Software Developers
15-1132.00,"Software Developers, Applications",15-1253.00,Software Quality Assurance Analysts and Testers
15-1133.00,"Software Developers, Systems Software",15-1252.00,Software Developers
15-1133.00,"Software Developers, Systems Software",15-1253.00,Software Quality Assurance Analysts and Testers
15-1134.00,Web Developers,15-1254.00,Web Developers
15-1134.00,Web Developers,15-1255.00,Web and Digital Interface Designers
15-1141.00,Database Administrators,15-1242.00,Database Administrators
15-1141.00,Database Administrators,15-1243.00,Database Architects
15-1142.00,Network and Computer Systems Administrators,15-1244.00,Network and Computer Systems Administrators
15-1143.00,Computer Network Architects,15-1241.00,Computer Network Architects
15-1143.01,Telecommunications Engineering Specialists,15-1241.01,Telecommunications Engineering Specialists
15-1151.00,Computer User Support Specialists,15-1232.00,Computer User Support Specialists
15-1152.00,Computer Network Support Specialists,15-1231.00,Computer Network Support Specialists
15-1199.00,"Computer Occupations, All Other",13-1082.00,Project Management Specialists
15-1199.00,"Computer Occupations, All Other",15-1255.00,Web and Digital Interface Designers
15-1199.00,"Computer Occupations, All Other",15-1299.00,"Computer Occupations, All Other"
15-1199.01,Software Quality Assurance Engineers and Testers,15-1253.00,Software Quality Assurance Analysts and Testers
15-1199.02,Computer Systems Engineers/Architects,15-1299.08,Computer Systems Engineers/Architects
15-1199.03,Web Administrators,15-1299.01,Web Administrators
15-1199.04,Geospatial Information Scientists and Technologists,15-1299.02,Geographic Information Systems Technologists and Technicians
15-1199.05,Geographic Information Systems Technicians,15-1299.02,Geographic Information Systems Technologists and Technicians
15-1199.06,Database Architects,15-1243.00,Database Architects
15-1199.07,Data Warehousing Specialists,15-1243.01,Data Warehousing Specialists
15-1199.08,Business Intelligence Analysts,15-2051.01,Business Intelligence Analysts
15-1199.09,Information Technology Project Managers,15-1299.09,Information Technology Project Managers
15-1199.10,Search Marketing Strategists,13-1161.01,Search Marketing Strategists
15-1199.11,Video Game Designers,15-1255.01,Video Game Designers
15-1199.12,Document Management Specialists,15-1299.03,Document Management Specialists
15-2011.00,Actuaries,15-2011.00,Actuaries
15-2021.00,Mathematicians,15-2021.00,Mathematicians
15-2031.00,Operations Research Analysts,15-2031.00,Operations Research Analysts
15-2041.00,Statisticians,15-2041.00,Statisticians
15-2041.01,Biostatisticians,15-2041.01,Biostatisticians
15-2041.02,Clinical Data Managers,15-2051.02,Clinical Data Managers
15-2091.00,Mathematical Technicians,15-2099.00,"Mathematical Science Occupations, All Other"
15-2099.00,"Mathematical Science Occupations, All Other",15-2051.00,Data Scientists
15-2099.00,"Mathematical Science Occupations, All Other",15-2099.00,"Mathematical Science Occupations, All Other"
17-1011.00,"Architects, Except Landscape and Naval",17-1011.00,"Architects, Except Landscape and Naval"
17-1012.00,Landscape Architects,17-1012.00,Landscape Architects
17-1021.00,Cartographers and Photogrammetrists,17-1021.00,Cartographers and Photogrammetrists
17-1022.00,Surveyors,17-1022.00,Surveyors
17-1022.01,Geodetic Surveyors,17-1022.01,Geodetic Surveyors
17-2011.00,Aerospace Engineers,17-2011.00,Aerospace Engineers
17-2021.00,Agricultural Engineers,17-2021.00,Agricultural Engineers
17-2031.00,Biomedical Engineers,17-2031.00,Bioengineers and Biomedical Engineers
17-2041.00,Chemical Engineers,17-2041.00,Chemical Engineers
17-2051.00,Civil Engineers,17-2051.00,Civil Engineers
17-2051.01,Transportation Engineers,17-2051.01,Transportation Engineers
17-2061.00,Computer Hardware Engineers,17-2061.00,Computer Hardware Engineers
17-2071.00,Electrical Engineers,17-2071.00,Electrical Engineers
17-2072.00,"Electronics Engineers, Except Computer",17-2072.00,"Electronics Engineers, Except Computer"
17-2072.01,Radio Frequency Identification Device Specialists,17-2072.01,Radio Frequency Identification Device Specialists
17-2081.00,Environmental Engineers,17-2081.00,Environmental Engineers
17-2081.01,Water/Wastewater Engineers,17-2051.02,Water/Wastewater Engineers
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
17-2111.01,Industrial Safety and Health Engineers,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
17-2111.02,Fire-Prevention and Protection Engineers,17-2111.02,Fire-Prevention and Protection Engineers
17-2111.03,Product Safety Engineers,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
17-2112.00,Industrial Engineers,17-2112.00,Industrial Engineers
17-2112.01,Human Factors Engineers and Ergonomists,17-2112.01,Human Factors Engineers and Ergonomists
17-2121.00,Marine Engineers and Naval Architects,17-2121.00,Marine Engineers and Naval Architects
17-2121.01,Marine Engineers,17-2121.00,Marine Engineers and Naval Architects
17-2121.02,Marine Architects,17-2121.00,Marine Engineers and Naval Architects
17-2131.00,Materials Engineers,17-2131.00,Materials Engineers
17-2141.00,Mechanical Engineers,17-2141.00,Mechanical Engineers
17-2141.01,Fuel Cell Engineers,17-2141.01,Fuel Cell Engineers
17-2141.02,Automotive Engineers,17-2141.02,Automotive Engineers
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
17-2161.00,Nuclear Engineers,17-2161.00,Nuclear Engineers
17-2171.00,Petroleum Engineers,17-2171.00,Petroleum Engineers
17-2199.00,"Engineers, All Other",17-2199.00,"Engineers, All Other"
17-2199.01,Biochemical Engineers,17-2031.00,Bioengineers and Biomedical Engineers
17-2199.02,Validation Engineers,17-2112.02,Validation Engineers
17-2199.03,Energy Engineers,17-2199.03,"Energy Engineers, Except Wind and Solar"
17-2199.04,Manufacturing Engineers,17-2112.03,Manufacturing Engineers
17-2199.05,Mechatronics Engineers,17-2199.05,Mechatronics Engineers
17-2199.06,Microsystems Engineers,17-2199.06,Microsystems Engineers
17-2199.07,Photonics Engineers,17-2199.07,Photonics Engineers
17-2199.08,Robotics Engineers,17-2199.08,Robotics Engineers
17-2199.09,Nanosystems Engineers,17-2199.09,Nanosystems Engineers
17-2199.10,Wind Energy Engineers,17-2199.10,Wind Energy Engineers
17-2199.11,Solar Energy Systems Engineers,17-2199.11,Solar Energy Systems Engineers
17-3011.00,Architectural and Civil Drafters,17-3011.00,Architectural and Civil Drafters
17-3011.01,Architectural Drafters,17-3011.00,Architectural and Civil Drafters
17-3011.02,Civil Drafters,17-3011.00,Architectural and Civil Drafters
17-3012.00,Electrical and Electronics Drafters,17-3012.00,Electrical and Electronics Drafters
17-3012.01,Electronic Drafters,17-3012.00,Electrical and Electronics Drafters
17-3012.02,Electrical Drafters,17-3012.00,Electrical and Electronics Drafters
17-3013.00,Mechanical Drafters,17-3013.00,Mechanical Drafters
17-3019.00,"Drafters, All Other",17-3019.00,"Drafters, All Other"
17-3021.00,Aerospace Engineering and Operations Technicians,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
17-3022.00,Civil Engineering Technicians,17-3022.00,Civil Engineering Technologists and Technicians
17-3023.00,Electrical and Electronic Engineering Technicians,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
17-3023.01,Electronics Engineering Technicians,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
17-3023.03,Electrical Engineering Technicians,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
17-3024.00,Electro-Mechanical Technicians,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
17-3024.01,Robotics Technicians,17-3024.01,Robotics Technicians
17-3025.00,Environmental Engineering Technicians,17-3025.00,Environmental Engineering Technologists and Technicians
17-3026.00,Industrial Engineering Technicians,17-3026.00,Industrial Engineering Technologists and Technicians
17-3027.00,Mechanical Engineering Technicians,17-3027.00,Mechanical Engineering Technologists and Technicians
17-3027.01,Automotive Engineering Technicians,17-3027.01,Automotive Engineering Technicians
17-3029.00,"Engineering Technicians, Except Drafters, All Other",17-3028.00,Calibration Technologists and Technicians
17-3029.00,"Engineering Technicians, Except Drafters, All Other",17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other"
17-3029.01,Non-Destructive Testing Specialists,17-3029.01,Non-Destructive Testing Specialists
17-3029.02,Electrical Engineering Technologists,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
17-3029.03,Electromechanical Engineering Technologists,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
17-3029.04,Electronics Engineering Technologists,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
17-3029.05,Industrial Engineering Technologists,17-3026.00,Industrial Engineering Technologists and Technicians
17-3029.06,Manufacturing Engineering Technologists,17-3026.00,Industrial Engineering Technologists and Technicians
17-3029.07,Mechanical Engineering Technologists,17-3027.00,Mechanical Engineering Technologists and Technicians
17-3029.08,Photonics Technicians,17-3029.08,Photonics Technicians
17-3029.09,Manufacturing Production Technicians,17-3026.00,Industrial Engineering Technologists and Technicians
17-3029.10,Fuel Cell Technicians,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other"
17-3029.11,Nanotechnology Engineering Technologists,17-3026.01,Nanotechnology Engineering Technologists and Technicians
17-3029.12,Nanotechnology Engineering Technicians,17-3026.01,Nanotechnology Engineering Technologists and Technicians
17-3031.00,Surveying and Mapping Technicians,17-3031.00,Surveying and Mapping Technicians
17-3031.01,Surveying Technicians,17-3031.00,Surveying and Mapping Technicians
17-3031.02,Mapping Technicians,17-3031.00,Surveying and Mapping Technicians
19-1011.00,Animal Scientists,19-1011.00,Animal Scientists
19-1012.00,Food Scientists and Technologists,19-1012.00,Food Scientists and Technologists
19-1013.00,Soil and Plant Scientists,19-1013.00,Soil and Plant Scientists
19-1020.01,Biologists,19-1029.04,Biologists
19-1021.00,Biochemists and Biophysicists,19-1021.00,Biochemists and Biophysicists
19-1022.00,Microbiologists,19-1022.00,Microbiologists
19-1023.00,Zoologists and Wildlife Biologists,19-1023.00,Zoologists and Wildlife Biologists
19-1029.00,"Biological Scientists, All Other",19-1029.00,"Biological Scientists, All Other"
19-1029.01,Bioinformatics Scientists,19-1029.01,Bioinformatics Scientists
19-1029.02,Molecular and Cellular Biologists,19-1029.02,Molecular and Cellular Biologists
19-1029.03,Geneticists,19-1029.03,Geneticists
19-1031.00,Conservation Scientists,19-1031.00,Conservation Scientists
19-1031.01,Soil and Water Conservationists,19-1031.00,Conservation Scientists
19-1031.02,Range Managers,19-1031.02,Range Managers
19-1031.03,Park Naturalists,19-1031.03,Park Naturalists
19-1032.00,Foresters,19-1032.00,Foresters
19-1041.00,Epidemiologists,19-1041.00,Epidemiologists
19-1042.00,"Medical Scientists, Except Epidemiologists",19-1042.00,"Medical Scientists, Except Epidemiologists"
19-1099.00,"Life Scientists, All Other",19-1099.00,"Life Scientists, All Other"
19-2011.00,Astronomers,19-2011.00,Astronomers
19-2012.00,Physicists,19-2012.00,Physicists
19-2021.00,Atmospheric and Space Scientists,19-2021.00,Atmospheric and Space Scientists
19-2031.00,Chemists,19-2031.00,Chemists
19-2032.00,Materials Scientists,19-2032.00,Materials Scientists
19-2041.00,"Environmental Scientists and Specialists, Including Health",19-2041.00,"Environmental Scientists and Specialists, Including Health"
19-2041.01,Climate Change Analysts,19-2041.01,Climate Change Policy Analysts
19-2041.02,Environmental Restoration Planners,19-2041.02,Environmental Restoration Planners
19-2041.03,Industrial Ecologists,19-2041.03,Industrial Ecologists
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
19-2043.00,Hydrologists,19-2043.00,Hydrologists
19-2099.00,"Physical Scientists, All Other",19-2099.00,"Physical Scientists, All Other"
19-2099.01,Remote Sensing Scientists and Technologists,19-2099.01,Remote Sensing Scientists and Technologists
19-3011.00,Economists,19-3011.00,Economists
19-3011.01,Environmental Economists,19-3011.01,Environmental Economists
19-3022.00,Survey Researchers,19-3022.00,Survey Researchers
19-3031.00,"Clinical, Counseling, and School Psychologists",19-3033.00,Clinical and Counseling Psychologists
19-3031.01,School Psychologists,19-3034.00,School Psychologists
19-3031.02,Clinical Psychologists,19-3033.00,Clinical and Counseling Psychologists
19-3031.03,Counseling Psychologists,19-3033.00,Clinical and Counseling Psychologists
19-3032.00,Industrial-Organizational Psychologists,19-3032.00,Industrial-Organizational Psychologists
19-3039.00,"Psychologists, All Other",19-3039.00,"Psychologists, All Other"
19-3039.01,Neuropsychologists and Clinical Neuropsychologists,19-3039.02,Neuropsychologists
19-3039.01,Neuropsychologists and Clinical Neuropsychologists,19-3039.03,Clinical Neuropsychologists
19-3041.00,Sociologists,19-3041.00,Sociologists
19-3051.00,Urban and Regional Planners,19-3051.00,Urban and Regional Planners
19-3091.00,Anthropologists and Archeologists,19-3091.00,Anthropologists and Archeologists
19-3091.01,Anthropologists,19-3091.00,Anthropologists and Archeologists
19-3091.02,Archeologists,19-3091.00,Anthropologists and Archeologists
19-3092.00,Geographers,19-3092.00,Geographers
19-3093.00,Historians,19-3093.00,Historians
19-3094.00,Political Scientists,19-3094.00,Political Scientists
19-3099.00,"Social Scientists and Related Workers, All Other",19-3099.00,"Social Scientists and Related Workers, All Other"
19-3099.01,Transportation Planners,19-3099.01,Transportation Planners
19-4011.00,Agricultural and Food Science Technicians,19-4012.00,Agricultural Technicians
19-4011.00,Agricultural and Food Science Technicians,19-4013.00,Food Science Technicians
19-4011.01,Agricultural Technicians,19-4012.00,Agricultural Technicians
19-4011.02,Food Science Technicians,19-4013.00,Food Science Technicians
19-4021.00,Biological Technicians,19-4021.00,Biological Technicians
19-4031.00,Chemical Technicians,19-4031.00,Chemical Technicians
19-4041.00,Geological and Petroleum Technicians,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
19-4041.00,Geological and Petroleum Technicians,19-4044.00,Hydrologic Technicians
19-4041.01,Geophysical Data Technicians,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
19-4041.02,Geological Sample Test Technicians,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
19-4051.00,Nuclear Technicians,19-4051.00,Nuclear Technicians
19-4051.01,Nuclear Equipment Operation Technicians,19-4051.00,Nuclear Technicians
19-4051.02,Nuclear Monitoring Technicians,19-4051.02,Nuclear Monitoring Technicians
19-4061.00,Social Science Research Assistants,19-4061.00,Social Science Research Assistants
19-4061.01,City and Regional Planning Aides,19-3051.00,Urban and Regional Planners
19-4091.00,"Environmental Science and Protection Technicians, Including Health",19-4042.00,"Environmental Science and Protection Technicians, Including Health"
19-4092.00,Forensic Science Technicians,19-4092.00,Forensic Science Technicians
19-4093.00,Forest and Conservation Technicians,19-4071.00,Forest and Conservation Technicians
19-4099.00,"Life, Physical, and Social Science Technicians, All Other",19-4044.00,Hydrologic Technicians
19-4099.00,"Life, Physical, and Social Science Technicians, All Other",19-4099.00,"Life, Physical, and Social Science Technicians, All Other"
19-4099.01,Quality Control Analysts,19-4099.01,Quality Control Analysts
19-4099.02,Precision Agriculture Technicians,19-4012.01,Precision Agriculture Technicians
19-4099.03,Remote Sensing Technicians,19-4099.03,Remote Sensing Technicians
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
21-1013.00,Marriage and Family Therapists,21-1013.00,Marriage and Family Therapists
21-1014.00,Mental Health Counselors,21-1014.00,Mental Health Counselors
21-1015.00,Rehabilitation Counselors,21-1015.00,Rehabilitation Counselors
21-1019.00,"Counselors, All Other",21-1019.00,"Counselors, All Other"
21-1021.00,"Child, Family, and School Social Workers",21-1021.00,"Child, Family, and School Social Workers"
21-1022.00,Healthcare Social Workers,21-1022.00,Healthcare Social Workers
21-1023.00,Mental Health and Substance Abuse Social Workers,21-1023.00,Mental Health and Substance Abuse Social Workers
21-1029.00,"Social Workers, All Other",21-1029.00,"Social Workers, All Other"
21-1091.00,Health Educators,21-1091.00,Health Education Specialists
21-1092.00,Probation Officers and Correctional Treatment Specialists,21-1092.00,Probation Officers and Correctional Treatment Specialists
21-1093.00,Social and Human Service Assistants,21-1093.00,Social and Human Service Assistants
21-1094.00,Community Health Workers,21-1094.00,Community Health Workers
21-1099.00,"Community and Social Service Specialists, All Other",21-1099.00,"Community and Social Service Specialists, All Other"
21-2011.00,Clergy,21-2011.00,Clergy
21-2021.00,"Directors, Religious Activities and Education",21-2021.00,"Directors, Religious Activities and Education"
21-2099.00,"Religious Workers, All Other",21-2099.00,"Religious Workers, All Other"
23-1011.00,Lawyers,23-1011.00,Lawyers
23-1012.00,Judicial Law Clerks,23-1012.00,Judicial Law Clerks
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
23-1022.00,"Arbitrators, Mediators, and Conciliators",23-1022.00,"Arbitrators, Mediators, and Conciliators"
23-1023.00,"Judges, Magistrate Judges, and Magistrates",23-1023.00,"Judges, Magistrate Judges, and Magistrates"
23-2011.00,Paralegals and Legal Assistants,23-2011.00,Paralegals and Legal Assistants
