O*NET-SOC 2000 Occupation Listings,,
O*NET-SOC 2000 occupations,,
,,
O*NET-SOC 2000 Code,O*NET-SOC 2000 Title,O*NET-SOC 2000 Description
11-9012.00,Farmers and Ranchers,"On an ownership or rental basis, operate farms, ranches, greenhouses, nurseries, timber tracts, or other agricultural production establishments which produce crops, horticultural specialties, livestock, poultry, finfish, shellfish, or animal specialties. May plant, cultivate, harvest, perform post-harvest activities, and market crops and livestock; may hire, train, and supervise farm workers or supervise a farm labor contractor; may prepare cost, production, and other records. May maintain and operate machinery and perform physical work."
11-9021.00,Construction Managers,"Plan, direct, coordinate, or budget, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, and implementation."
11-9031.00,"Education Administrators, Preschool and Child Care Center/Program","Plan, direct, or coordinate the academic and nonacademic activities of preschool and child care centers or programs."
11-9032.00,"Education Administrators, Elementary and Secondary School","Plan, direct, or coordinate the academic, clerical, or auxiliary activities of public or private elementary or secondary level schools."
11-9033.00,"Education Administrators, Postsecondary","Plan, direct, or coordinate research, instructional, student administration and services, and other educational activities at postsecondary institutions, including universities, colleges, and junior and community colleges."
11-9039.99,"Education Administrators, All Other",All education administrators not listed separately.
11-9041.00,Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields."
11-9051.00,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages."
11-9061.00,Funeral Directors,"Perform various tasks to arrange and direct funeral services, such as coordinating transportation of body to mortuary for embalming, interviewing family or other authorized person to arrange details, selecting pallbearers, procuring official for religious rites, and providing transportation for mourners."
11-9071.00,Gaming Managers,"Plan, organize, direct, control, or coordinate gaming operations in a casino. Formulate gaming policies for their area of responsibility."
11-9081.00,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations."
11-9111.00,Medical and Health Services Managers,"Plan, direct, or coordinate medicine and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations."
11-9121.00,Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields."
11-9131.00,Postmasters and Mail Superintendents,"Direct and coordinate operational, administrative, management, and supportive services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office."
11-9141.00,"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties."
11-9151.00,Social and Community Service Managers,"Plan, organize, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers."
11-9199.99,"Managers, All Other",All managers not listed separately.
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","Represent and promote artists, performers, and athletes to prospective employers. May handle contract negotiation and other business matters for clients."
13-1021.00,"Purchasing Agents and Buyers, Farm Products",Purchase farm products either for further processing or resale.
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products."
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semi-finished materials for manufacturing."
13-1031.00,"Claims Adjusters, Examiners, and Investigators","Review settled claims to determine that payments and settlements have been made in accordance with company practices and procedures, ensuring that proper methods have been followed. Report overpayments, underpayments, and other irregularities. Confer with legal counsel on claims requiring litigation."
13-1031.01,"Claims Examiners, Property and Casualty Insurance","Review settled insurance claims to determine that payments and settlements have been made in accordance with company practices and procedures. Report overpayments, underpayments, and other irregularities. Confer with legal counsel on claims requiring litigation."
13-1031.02,"Insurance Adjusters, Examiners, and Investigators","Investigate, analyze, and determine the extent of insurance company's liability concerning personal, casualty, or property loss or damages, and attempt to effect settlement with claimants. Correspond with or interview medical specialists, agents, witnesses, or claimants to compile information. Calculate benefit payments and approve payment of claims within a certain monetary limit."
13-1032.00,"Insurance Appraisers, Auto Damage",Appraise automobile or other vehicle damage to determine cost of repair for insurance claim settlement and seek agreement with automotive repair shop on cost of repair. Prepare insurance forms to indicate repair cost or cost estimates and recommendations.
13-1041.00,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation","Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and other compliance and enforcement inspection activities not classified elsewhere."
13-1041.01,Environmental Compliance Inspectors,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances."
13-1041.02,Licensing Examiners and Inspectors,"Examine, evaluate, and investigate eligibility for, conformity with, or liability under licenses or permits."
13-1041.03,Equal Opportunity Representatives and Officers,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability."
13-1041.04,Government Property Inspectors and Investigators,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.
13-1041.05,Pressure Vessel Inspectors,"Inspect pressure vessel equipment for conformance with safety laws and standards regulating their design, fabrication, installation, repair, and operation."
13-1041.06,Coroners,"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths."
13-1051.00,Cost Estimators,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured."
13-1061.00,Emergency Management Specialists,"Coordinate disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies, hazardous materials spills) disasters or hostage situations."
13-1071.00,"Employment, Recruitment, and Placement Specialists",Recruit and place workers.
13-1071.01,"Employment Interviewers, Private or Public Employment Service","Interview job applicants in employment office and refer them to prospective employers for consideration. Search application files, notify selected applicants of job openings, and refer qualified applicants to prospective employers. Contact employers to verify referral results. Record and evaluate various pertinent data."
13-1071.02,Personnel Recruiters,"Seek out, interview, and screen applicants to fill existing and future job openings and promote career opportunities within an organization."
13-1072.00,"Compensation, Benefits, and Job Analysis Specialists","Conduct programs of compensation and benefits and job analysis for employer. May specialize in specific areas, such as position classification and pension programs."
13-1073.00,Training and Development Specialists,Conduct training and development programs for employees.
13-1079.99,"Human Resources, Training, and Labor Relations Specialists, All Other","All human resources, training, and labor relations specialists not listed separately."
13-1081.00,Logisticians,"Analyze and coordinate the logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources."
13-1111.00,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplifications and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants."
13-1121.00,Meeting and Convention Planners,Coordinate activities of staff and convention personnel to make arrangements for group meetings and conventions.
13-1199.99,"Business Operations Specialists, All Other",All business operations specialists not listed separately.
13-2011.00,Accountants and Auditors,"Examine, analyze, and interpret accounting records for the purpose of giving advice or preparing statements. Install or advise on systems of recording costs or other financial and budgetary data."
13-2011.01,Accountants,"Analyze financial information and prepare financial reports to determine or maintain record of assets, liabilities, profit and loss, tax liability, or other financial activities within an organization."
13-2011.02,Auditors,Examine and analyze accounting records to determine financial status of establishment and prepare financial reports concerning operating procedures.
13-2021.00,Appraisers and Assessors of Real Estate,Appraise real property to determine its fair value. May assess taxes in accordance with prescribed schedules.
13-2021.01,Assessors,Appraise real and personal property to determine its fair value. May assess taxes in accordance with prescribed schedules.
13-2021.02,"Appraisers, Real Estate","Appraise real property to determine its value for purchase, sales, investment, mortgage, or loan purposes."
13-2031.00,Budget Analysts,"Examine budget estimates for completeness, accuracy, and conformance with procedures and regulations. Analyze budgeting and accounting reports for the purpose of maintaining expenditure controls."
13-2041.00,Credit Analysts,Analyze current credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money. Prepare reports with this credit information for use in decision-making.
13-2051.00,Financial Analysts,Conduct quantitative analyses of information affecting investment programs of public or private institutions.
13-2052.00,Personal Financial Advisors,"Advise clients on financial plans utilizing knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives to establish investment strategies."
13-2053.00,Insurance Underwriters,Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.
13-2061.00,Financial Examiners,"Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify correctness of, or establish authenticity of records."
13-2071.00,Loan Counselors,Provide guidance to prospective loan applicants who have problems qualifying for traditional loans. Guidance may include determining the best type of loan and explaining loan requirements or restrictions.
13-2072.00,Loan Officers,"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and methods of payments. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, and loan underwriters."
13-2081.00,"Tax Examiners, Collectors, and Revenue Agents",Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.
13-2082.00,Tax Preparers,Prepare tax returns for individuals or small businesses but do not have the background or responsibilities of an accredited or certified public accountant.
13-2099.99,"Financial Specialists, All Other",All financial specialists not listed separately.
15-1011.00,"Computer and Information Scientists, Research","Conduct research into fundamental computer and information science as theorists, designers, or inventors. Solve or develop solutions to problems in the field of computer hardware and software."
15-1021.00,Computer Programmers,"Convert project specifications and statements of problems and procedures to detailed logical flow charts for coding into computer language. Develop and write computer programs to store, locate, and retrieve specific documents, data, and information. May program web sites."
15-1031.00,"Computer Software Engineers, Applications","Develop, create, and modify general computer applications software or specialized utility programs. Analyze user needs and develop software solutions. Design software or customize software for client use with the aim of optimizing operational efficiency. May analyze and design databases within an application area, working individually or coordinating database development as part of a team."
15-1032.00,"Computer Software Engineers, Systems Software","Research, design, develop, and test operating systems-level software, compilers, and network distribution software for medical, industrial, military, communications, aerospace, business, scientific, and general computing applications. Set operational specifications and formulate and analyze software requirements. Apply principles and techniques of computer science, engineering, and mathematical analysis."
15-1041.00,Computer Support Specialists,"Provide technical assistance to computer system users. Answer questions or resolve computer problems for clients in person, via telephone or from remote location. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems."
15-1051.00,Computer Systems Analysts,"Analyze science, engineering, business, and all other data processing problems for application to electronic data processing systems. Analyze user requirements, procedures, and problems to automate or improve existing systems and review computer system capabilities, workflow, and scheduling limitations. May analyze or recommend commercially available software. May supervise computer programmers."
15-1061.00,Database Administrators,"Coordinate changes to computer databases, test and implement the database applying knowledge of database management systems. May plan, coordinate, and implement security measures to safeguard computer databases."
15-1071.00,Network and Computer Systems Administrators,"Install, configure, and support an organization's local area network (LAN), wide area network (WAN), and Internet system or a segment of a network system. Maintain network hardware and software. Monitor network to ensure network availability to all system users and perform necessary maintenance to support network availability. May supervise other network support and client server specialists and plan, coordinate, and implement network security measures."
15-1071.01,Computer Security Specialists,"Plan, coordinate, and implement security measures for information systems to regulate access to computer data files and prevent unauthorized modification, destruction, or disclosure of information."
15-1081.00,Network Systems and Data Communications Analysts,"Analyze, design, test, and evaluate network systems, such as local area networks (LAN), wide area networks (WAN), Internet, intranet, and other data communications systems. Perform network modeling, analysis, and planning. Research and recommend network and data communications hardware and software. Includes telecommunications specialists who deal with the interfacing of computer and communications equipment."
15-1099.99,"Computer Specialists, All Other",All computer specialists not listed separately.
15-2011.00,Actuaries,"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain premium rates required and cash reserves necessary to ensure payment of future benefits."
15-2021.00,Mathematicians,"Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields. Solve or direct solutions to problems in various fields by mathematical methods."
15-2031.00,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods using a computer to develop and interpret information that assists management with decision making, policy formulation, or other managerial functions. May develop related software, service, or products. Frequently concentrates on collecting and analyzing data and developing decision support software. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation."
15-2041.00,Statisticians,"Engage in the development of mathematical theory or apply statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields, such as bio-statistics, agricultural statistics, business statistics, economic statistics, or other fields."
15-2091.00,Mathematical Technicians,"Apply standardized mathematical formulas, principles, and methodology to technological problems in engineering and physical sciences in relation to specific industrial and research objectives, processes, equipment, and products."
15-2099.99,"Mathematical Science Occupations, All Other",All mathematical scientists not listed separately.
17-1011.00,"Architects, Except Landscape and Naval","Plan and design structures, such as private residences, office buildings, theaters, factories, and other structural property."
17-1012.00,Landscape Architects,"Plan and design land areas for such projects as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites."
17-1021.00,Cartographers and Photogrammetrists,"Collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data. Research, study, and prepare maps and other spatial data in digital or graphic form for legal, social, political, educational, and design purposes. May work with Geographic Information Systems (GIS). May design and evaluate algorithms, data structures, and user interfaces for GIS and mapping systems."
17-1022.00,Surveyors,"Make exact measurements and determine property boundaries. Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes."
17-2011.00,Aerospace Engineers,"Perform a variety of engineering work in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques."
17-2021.00,Agricultural Engineers,"Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products."
17-2031.00,Biomedical Engineers,"Apply knowledge of engineering, biology, and biomechanical principles to the design, development, and evaluation of biological and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems."
17-2041.00,Chemical Engineers,"Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering."
17-2051.00,Civil Engineers,"Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures, and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, water and sewage systems, and waste disposal units. Includes architectural, structural, traffic, ocean, and geo-technical engineers."
17-2061.00,Computer Hardware Engineers,"Research, design, develop, and test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components."
17-2071.00,Electrical Engineers,"Design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use."
17-2072.00,"Electronics Engineers, Except Computer","Research, design, develop, and test electronic components and systems for commercial, industrial, military, or scientific use utilizing knowledge of electronic theory and materials properties. Design electronic circuits and components for use in fields such as telecommunications, aerospace guidance and propulsion control, acoustics, or instruments and controls."
17-2081.00,Environmental Engineers,"Design, plan, or perform engineering duties in the prevention, control, and remediation of environmental health hazards utilizing various engineering disciplines. Work may include waste treatment, site remediation, or pollution control technology."
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws."
17-2111.01,Industrial Safety and Health Engineers,"Plan, implement, and coordinate safety programs, requiring application of engineering principles and technology, to prevent or correct unsafe environmental working conditions."
17-2111.02,Fire-Prevention and Protection Engineers,"Research causes of fires, determine fire protection methods, and design or recommend materials or equipment such as structural components or fire-detection equipment to assist organizations in safeguarding life and property against fire, explosion, and related hazards."
17-2111.03,Product Safety Engineers,Develop and conduct tests to evaluate product safety levels and recommend measures to reduce or eliminate hazards.
17-2112.00,Industrial Engineers,"Design, develop, test, and evaluate integrated systems for managing industrial production processes including human work factors, quality control, inventory control, logistics and material flow, cost analysis, and production coordination."
17-2121.00,Marine Engineers and Naval Architects,"Design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems."
17-2121.01,Marine Engineers,"Design, develop, and take responsibility for the installation of ship machinery and related equipment including propulsion machines and power supply systems."
17-2121.02,Marine Architects,"Design and oversee construction and repair of marine craft and floating structures such as ships, barges, tugs, dredges, submarines, torpedoes, floats, and buoys. May confer with marine engineers."
17-2131.00,Materials Engineers,"Evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications. Develop new uses for known materials. Includes those working with composite materials or specializing in one type of material, such as graphite, metal and metal alloys, ceramics and glass, plastics and polymers, and naturally occurring materials."
17-2141.00,Mechanical Engineers,"Perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment. Oversee installation, operation, maintenance, and repair of such equipment as centralized heat, gas, water, and steam systems."
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers","Determine the location and plan the extraction of coal, metallic ores, nonmetallic minerals, and building materials, such as stone and gravel. Work involves conducting preliminary surveys of deposits or undeveloped mines and planning their development; examining deposits or mines to determine whether they can be worked at a profit; making geological and topographical surveys; evolving methods of mining best suited to character, type, and size of deposits; and supervising mining operations."
17-2161.00,Nuclear Engineers,"Conduct research on nuclear engineering problems or apply principles and theory of nuclear science to problems concerned with release, control, and utilization of nuclear energy and nuclear waste disposal."
17-2171.00,Petroleum Engineers,Devise methods to improve oil and gas well production and determine the need for new or modified tool designs. Oversee drilling and offer technical advice to achieve economical and satisfactory progress.
17-2199.99,"Engineers, All Other",All engineers not listed separately.
17-3011.00,Architectural and Civil Drafters,"Prepare detailed drawings of architectural and structural features of buildings or drawings and topographical relief maps used in civil engineering projects, such as highways, bridges, and public works. Utilize knowledge of building materials, engineering practices, and mathematics to complete drawings."
17-3011.01,Architectural Drafters,Prepare detailed drawings of architectural designs and plans for buildings and structures according to specifications provided by architect.
17-3011.02,Civil Drafters,"Prepare drawings and topographical and relief maps used in civil engineering projects, such as highways, bridges, pipelines, flood control projects, and water and sewerage control systems."
17-3012.00,Electrical and Electronics Drafters,"Prepare wiring diagrams, circuit board assembly diagrams, and layout drawings used for manufacture, installation, and repair of electrical equipment in factories, power plants, and buildings."
17-3012.01,Electronic Drafters,"Draw wiring diagrams, circuit board assembly diagrams, schematics, and layout drawings used for manufacture, installation, and repair of electronic equipment."
17-3012.02,Electrical Drafters,"Develop specifications and instructions for installation of voltage transformers, overhead or underground cables, and related electrical equipment used to conduct electrical energy from transmission lines or high-voltage distribution lines to consumers."
17-3013.00,Mechanical Drafters,"Prepare detailed working diagrams of machinery and mechanical devices, including dimensions, fastening methods, and other engineering information."
17-3019.99,"Drafters, All Other",All drafters not listed separately.
17-3021.00,Aerospace Engineering and Operations Technicians,"Operate, install, calibrate, and maintain integrated computer/communications systems consoles, simulators, and other data acquisition, test, and measurement instruments and equipment to launch, track, position, and evaluate air and space vehicles. May record and interpret test data."
17-3022.00,Civil Engineering Technicians,"Apply theory and principles of civil engineering in planning, designing, and overseeing construction and maintenance of structures and facilities under the direction of engineering staff or physical scientists."
17-3023.00,Electrical and Electronic Engineering Technicians,"Apply electrical and electronic theory and related knowledge, usually under the direction of engineering staff, to design, build, repair, calibrate, and modify electrical components, circuitry, controls, and machinery for subsequent evaluation and use by engineering staff in making engineering design decisions."
17-3023.01,Electronics Engineering Technicians,"Lay out, build, test, troubleshoot, repair, and modify developmental and production electronic components, parts, equipment, and systems, such as computer equipment, missile control instrumentation, electron tubes, test equipment, and machine tool numerical controls, applying principles and theories of electronics, electrical circuitry, engineering mathematics, electronic and electrical testing, and physics. Usually work under direction of engineering staff."
17-3023.02,Calibration and Instrumentation Technicians,"Develop, test, calibrate, operate, and repair electrical, mechanical, electromechanical, electrohydraulic, or electronic measuring and recording instruments, apparatus, and equipment."
17-3023.03,Electrical Engineering Technicians,Apply electrical theory and related knowledge to test and modify developmental or operational electrical machinery and electrical control equipment and circuitry in industrial or commercial plants and laboratories. Usually work under direction of engineering staff.
17-3024.00,Electro-Mechanical Technicians,"Operate, test, and maintain unmanned, automated, servo-mechanical, or electromechanical equipment. May operate unmanned submarines, aircraft, or other equipment at worksites, such as oil rigs, deep ocean exploration, or hazardous waste removal. May assist engineers in testing and designing robotics equipment."
17-3025.00,Environmental Engineering Technicians,"Apply theory and principles of environmental engineering to modify, test, and operate equipment and devices used in the prevention, control, and remediation of environmental pollution, including waste treatment and site remediation. May assist in the development of environmental pollution remediation devices under direction of engineer."
17-3026.00,Industrial Engineering Technicians,"Apply engineering theory and principles to problems of industrial layout or manufacturing production, usually under the direction of engineering staff. May study and record time, motion, method, and speed involved in performance of production, maintenance, clerical, and other worker operations for such purposes as establishing standard production rates or improving efficiency."
17-3027.00,Mechanical Engineering Technicians,"Apply theory and principles of mechanical engineering to modify, develop, and test machinery and equipment under direction of engineering staff or physical scientists."
17-3029.99,"Engineering Technicians, Except Drafters, All Other","All engineering technicians, except drafters, not listed separately."
17-3031.00,Surveying and Mapping Technicians,"Perform surveying and mapping duties, usually under the direction of a surveyor, cartographer, or photogrammetrist to obtain data used for construction, mapmaking, boundary location, mining, or other purposes. May calculate mapmaking information and create maps from source data, such as surveying notes, aerial photography, satellite data, or other maps to show topographical features, political boundaries, and other features. May verify accuracy and completeness of topographical maps."
17-3031.01,Surveying Technicians,"Adjust and operate surveying instruments, such as the theodolite and electronic distance-measuring equipment, and compile notes, make sketches and enter data into computers."
17-3031.02,Mapping Technicians,"Calculate mapmaking information from field notes, and draw and verify accuracy of topographical maps."
19-1011.00,Animal Scientists,"Conduct research in the genetics, nutrition, reproduction, growth, and development of domestic farm animals."
19-1012.00,Food Scientists and Technologists,"Use chemistry, microbiology, engineering, and other sciences to study the principles underlying the processing and deterioration of foods; analyze food content to determine levels of vitamins, fat, sugar, and protein; discover new food sources; research ways to make processed foods safe, palatable, and healthful; and apply food science knowledge to determine best ways to process, package, preserve, store, and distribute food."
19-1013.00,Soil and Plant Scientists,"Conduct research in breeding, physiology, production, yield, and management of crops and agricultural plants, their growth in soils, and control of pests; or study the chemical, physical, biological, and mineralogical composition of soils as they relate to plant or crop growth. May classify and map soils and investigate effects of alternative practices on soil and crop productivity."
19-1013.01,Plant Scientists,"Conduct research in breeding, production, and yield of plants or crops, and control of pests."
19-1013.02,Soil Scientists,"Research or study soil characteristics, map soil types, and investigate responses of soils to known management practices to determine use capabilities of soils and effects of alternative practices on soil productivity."
19-1020.01,Biologists,"Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions."
19-1021.00,Biochemists and Biophysicists,"Study the chemical composition and physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms."
19-1021.01,Biochemists,"Research or study chemical composition and processes of living organisms that affect vital processes such as growth and aging to determine chemical actions and effects on organisms such as the action of foods, drugs, or other substances on body functions and tissues."
